Driver,Team,LapNumber,DriverLapKey,Compound,Stint,LapTime_str,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,PitInTime_s,PitOutTime_s,IsPersonalBest,IsAccurate
RUS,Mercedes,1.0,RUS_1.0,MEDIUM,1.0,,,,37.497,25.178,,,False,False
RUS,Mercedes,2.0,RUS_2.0,MEDIUM,1.0,01:31.418,91.418,29.454,36.954,25.01,,,True,True
RUS,Mercedes,3.0,RUS_3.0,MEDIUM,1.0,01:31.298,91.298,29.299,36.816,25.183,,,True,True
RUS,Mercedes,4.0,RUS_4.0,MEDIUM,1.0,01:31.799,91.799,29.507,37.206,25.086,,,False,True
RUS,Mercedes,5.0,RUS_5.0,MEDIUM,1.0,01:31.628,91.628,29.426,37.107,25.095,,,False,True
RUS,Mercedes,6.0,RUS_6.0,MEDIUM,1.0,01:31.625,91.625,29.478,37.031,25.116,,,False,True
RUS,Mercedes,7.0,RUS_7.0,MEDIUM,1.0,01:31.663,91.663,29.503,36.936,25.224,,,False,True
RUS,Mercedes,8.0,RUS_8.0,MEDIUM,1.0,01:31.731,91.731,29.582,36.966,25.183,,,False,True
RUS,Mercedes,9.0,RUS_9.0,MEDIUM,1.0,01:31.621,91.621,29.438,37.017,25.166,,,False,True
RUS,Mercedes,10.0,RUS_10.0,MEDIUM,1.0,01:31.639,91.639,29.526,36.953,25.16,,,False,True
RUS,Mercedes,11.0,RUS_11.0,MEDIUM,1.0,01:31.586,91.586,29.408,36.989,25.189,,,False,True
RUS,Mercedes,12.0,RUS_12.0,MEDIUM,1.0,01:31.619,91.619,29.443,36.939,25.237,,,False,True
RUS,Mercedes,13.0,RUS_13.0,MEDIUM,1.0,01:31.716,91.716,29.508,37.014,25.194,,,False,True
RUS,Mercedes,14.0,RUS_14.0,MEDIUM,1.0,01:31.478,91.478,29.486,36.957,25.035,,,False,True
RUS,Mercedes,15.0,RUS_15.0,MEDIUM,1.0,01:31.566,91.566,29.541,36.928,25.097,,,False,True
RUS,Mercedes,16.0,RUS_16.0,MEDIUM,1.0,01:31.626,91.626,29.53,36.794,25.302,,,False,True
RUS,Mercedes,17.0,RUS_17.0,MEDIUM,1.0,01:34.793,94.793,29.793,37.278,27.722,,,False,True
RUS,Mercedes,18.0,RUS_18.0,MEDIUM,1.0,01:36.365,96.365,30.185,37.731,28.449,,,False,True
RUS,Mercedes,19.0,RUS_19.0,MEDIUM,1.0,01:44.151,104.151,35.263,41.002,27.886,,,False,True
RUS,Mercedes,20.0,RUS_20.0,MEDIUM,1.0,01:39.962,99.962,33.517,39.614,26.831,,,False,True
RUS,Mercedes,21.0,RUS_21.0,MEDIUM,1.0,01:32.753,92.753,29.899,37.611,25.243,,,False,True
RUS,Mercedes,22.0,RUS_22.0,MEDIUM,1.0,01:31.344,91.344,29.501,36.926,24.917,,,False,True
